"path","freq"
"donepezil-End",25315
"memantine-End",8949
"galantamine-End",4555
"rivastigmine-End",4275
"donepezil-donepezil+memantine-End",3096
"donepezil-donepezil+rivastigmine-End",646
"donepezil-donepezil+galantamine-End",556
"galantamine-galantamine+memantine-End",448
"rivastigmine-memantine+rivastigmine-End",407
"donepezil+memantine-End",234
"galantamine-donepezil+galantamine-End",234
"rivastigmine-donepezil+rivastigmine-End",199
"donepezil-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",138
"memantine-donepezil+memantine-End",128
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-End",127
"galantamine-galantamine+rivastigmine-End",114
"memantine-memantine+rivastigmine-End",89
"donepezil+galantamine-End",87
"donepezil+rivastigmine-End",78
"memantine+rivastigmine-End",70
"rivastigmine-galantamine+rivastigmine-End",58
"galantamine+memantine-End",45
"galantamine-galantamine+rivastigmine-galantamine+memantine+rivastigmine-End",39
"donepezil-donepezil+galantamine-donepezil+galantamine+rivastigmine-End",36
"donepezil-donepezil+rivastigmine-donepezil+galantamine+rivastigmine-End",34
"donepezil-donepezil+memantine-donepezil+memantine+rivastigmine-End",31
"galantamine-donepezil+galantamine-donepezil+galantamine+memantine-End",30
"donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",20
"donepezil+galantamine-donepezil+galantamine+memantine-End",19
"galantamine-donepezil+galantamine-donepezil+galantamine+rivastigmine-End",19
"rivastigmine-donepezil+rivastigmine-donepezil+memantine+rivastigmine-End",17
"memantine-galantamine+memantine-End",14
"donepezil+galantamine-donepezil+galantamine+rivastigmine-End",12
"galantamine+rivastigmine-End",11
"rivastigmine-donepezil+rivastigmine-donepezil+galantamine+rivastigmine-End",11
"rivastigmine-galantamine+rivastigmine-galantamine+memantine+rivastigmine-End",11
"donepezil-donepezil+rivastigmine-donepezil+galantamine+rivastigmine-donepezil+galantamine+memantine+rivastigmine-End",9
"galantamine-galantamine+rivastigmine-donepezil+galantamine+rivastigmine-End",9
"galantamine-galantamine+memantine-galantamine+memantine+rivastigmine-End",8
"donepezil-donepezil+galantamine-donepezil+galantamine+rivastigmine-donepezil+galantamine+memantine+rivastigmine-End",7
"donepezil-donepezil+memantine-donepezil+galantamine+memantine-End",7
"donepezil-donepezil+galantamine-donepezil+galantamine+memantine-donepezil+galantamine+memantine+rivastigmine-End",5
"donepezil-donepezil+galantamine+memantine-End",5
"donepezil-donepezil+memantine+rivastigmine-End",5
"donepezil+rivastigmine-donepezil+galantamine+rivastigmine-End",5
"rivastigmine-donepezil+memantine+rivastigmine-End",5
