"event_cohort_name1","event_cohort_name2","event_cohort_name3","event_cohort_name4","index_year","freq"
"galantamine",NA,NA,NA,2007,390
"donepezil",NA,NA,NA,2011,1851
"memantine",NA,NA,NA,2015,857
"rivastigmine",NA,NA,NA,2009,299
"memantine",NA,NA,NA,2014,970
"donepezil",NA,NA,NA,2018,1293
"donepezil",NA,NA,NA,2015,1821
"rivastigmine",NA,NA,NA,2015,237
"donepezil",NA,NA,NA,2016,1481
"rivastigmine",NA,NA,NA,2013,351
"rivastigmine",NA,NA,NA,2017,235
"donepezil","donepezil+memantine",NA,NA,2014,328
"donepezil",NA,NA,NA,2010,1564
"donepezil","donepezil+memantine",NA,NA,2016,238
"memantine",NA,NA,NA,2018,783
"memantine",NA,NA,NA,2012,791
"donepezil",NA,NA,NA,2012,2144
"donepezil","donepezil+memantine",NA,NA,2012,307
"donepezil",NA,NA,NA,2013,2211
"donepezil",NA,NA,NA,2014,2001
"donepezil",NA,NA,NA,2004,874
"rivastigmine","galantamine+rivastigmine",NA,NA,2003,6
"memantine",NA,NA,NA,2013,888
"donepezil",NA,NA,NA,2009,1245
"donepezil","donepezil+rivastigmine",NA,NA,2016,41
"donepezil","donepezil+memantine",NA,NA,2011,278
"rivastigmine",NA,NA,NA,2007,160
"donepezil",NA,NA,NA,2001,362
"donepezil","donepezil+galantamine",NA,NA,2015,36
"donepezil",NA,NA,NA,2007,967
"donepezil","donepezil+memantine",NA,NA,2017,223
"donepezil","donepezil+memantine",NA,NA,2013,352
"donepezil",NA,NA,NA,2003,744
"donepezil",NA,NA,NA,2017,1277
"memantine","donepezil+memantine","donepezil+memantine+rivastigmine",NA,2011,1
"rivastigmine",NA,NA,NA,2002,76
"donepezil","donepezil+memantine",NA,NA,2010,255
"rivastigmine","memantine+rivastigmine",NA,NA,2013,43
"memantine",NA,NA,NA,2016,811
"rivastigmine",NA,NA,NA,2012,377
"donepezil","donepezil+memantine",NA,NA,2015,292
"donepezil",NA,NA,NA,2005,926
"memantine",NA,NA,NA,2017,794
"memantine",NA,NA,NA,2010,399
"galantamine",NA,NA,NA,2014,194
"donepezil",NA,NA,NA,2008,1121
"donepezil","donepezil+galantamine",NA,NA,2017,33
"galantamine",NA,NA,NA,2012,270
"donepezil",NA,NA,NA,2000,199
"rivastigmine",NA,NA,NA,2019,198
"donepezil","donepezil+galantamine",NA,NA,2008,37
"donepezil",NA,NA,NA,2006,1095
"memantine",NA,NA,NA,2019,759
"galantamine",NA,NA,NA,2011,331
"donepezil","donepezil+rivastigmine",NA,NA,2012,53
"galantamine","donepezil+galantamine",NA,NA,2016,5
"donepezil","donepezil+galantamine",NA,NA,2013,48
"galantamine+memantine",NA,NA,NA,2015,5
"galantamine",NA,NA,NA,2006,408
"galantamine",NA,NA,NA,2019,109
"galantamine",NA,NA,NA,2013,228
"galantamine",NA,NA,NA,2017,93
"memantine",NA,NA,NA,2009,324
"donepezil+galantamine",NA,NA,NA,2011,5
"donepezil","donepezil+memantine",NA,NA,2019,93
"galantamine",NA,NA,NA,2008,450
"donepezil","donepezil+galantamine",NA,NA,2011,43
"memantine","memantine+rivastigmine","donepezil+memantine+rivastigmine",NA,2010,1
"galantamine",NA,NA,NA,2003,165
"donepezil",NA,NA,NA,2019,1154
"donepezil","donepezil+galantamine",NA,NA,2006,32
"galantamine","donepezil+galantamine",NA,NA,2001,11
"rivastigmine","donepezil+rivastigmine",NA,NA,2000,4
"rivastigmine",NA,NA,NA,2004,129
"donepezil",NA,NA,NA,1999,86
"donepezil",NA,NA,NA,2002,481
"galantamine","galantamine+rivastigmine","galantamine+memantine+rivastigmine",NA,2017,2
"galantamine",NA,NA,NA,2005,299
"donepezil","donepezil+galantamine","donepezil+galantamine+memantine","donepezil+galantamine+memantine+rivastigmine",2011,1
"rivastigmine","donepezil+rivastigmine",NA,NA,2003,8
"donepezil","donepezil+memantine",NA,NA,2008,95
"memantine",NA,NA,NA,2006,134
"rivastigmine",NA,NA,NA,2008,195
"donepezil","donepezil+rivastigmine",NA,NA,2010,53
"memantine",NA,NA,NA,2020,175
"donepezil","donepezil+rivastigmine",NA,NA,1999,5
"galantamine","galantamine+memantine",NA,NA,2012,33
"rivastigmine","donepezil+rivastigmine",NA,NA,2012,22
"memantine","donepezil+memantine",NA,NA,2013,11
"donepezil",NA,NA,NA,2020,249
"donepezil","donepezil+rivastigmine",NA,NA,2014,59
"galantamine",NA,NA,NA,2001,89
"rivastigmine",NA,NA,NA,2011,362
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2013,18
"donepezil","donepezil+memantine",NA,NA,2018,158
"donepezil","donepezil+memantine",NA,NA,2001,18
"donepezil","donepezil+rivastigmine","donepezil+memantine+rivastigmine",NA,2011,11
"rivastigmine",NA,NA,NA,2010,362
"donepezil","donepezil+memantine",NA,NA,2009,147
"memantine","donepezil+memantine",NA,NA,2010,15
"memantine",NA,NA,NA,2004,101
