"index_year","N"
"Number of persons in target cohort 2003",7100
"Number of persons in target cohort 2007",9123
"Number of persons in target cohort 2014",11436
"Number of persons in target cohort 2011",11001
"Number of persons in target cohort 2015",10507
"Number of persons in target cohort 2009",10481
"Number of persons in target cohort 1998",2603
"Number of persons in target cohort 2018",7039
"Number of persons in target cohort 2006",10305
"Number of persons in target cohort 2005",8188
"Number of persons in target cohort 2004",8474
"Number of persons in target cohort 2010",11061
"Number of persons in target cohort 1992",1210
"Number of persons in target cohort 2013",11784
"Number of persons in target cohort 2012",11602
"Number of persons in target cohort 2016",8365
"Number of persons in target cohort 2017",7308
"Number of persons in target cohort 2019",6833
"Number of persons in target cohort 1996",1939
"Number of persons in target cohort 1997",2390
"Number of persons in target cohort 2008",9491
"Number of persons in target cohort 2000",3939
"Number of persons in target cohort 2002",5699
"Number of persons in target cohort 1991",1227
"Number of persons in target cohort 1995",1464
"Number of persons in target cohort 2001",4889
"Number of persons in target cohort 2020",1925
"Number of persons in target cohort 1999",3000
"Number of persons in target cohort 1994",1344
"Number of persons in target cohort 1990",845
"Number of persons in target cohort 1993",1366
"Number of persons in target cohort 1989",205
"Number of persons in target cohort 1988",11
"Number of persons in target cohort NA",194154
"Number of pathways (before minCellCount) in 2007",1894
"Number of pathways (before minCellCount) in 2011",3712
"Number of pathways (before minCellCount) in 2015",3620
"Number of pathways (before minCellCount) in 2009",2685
"Number of pathways (before minCellCount) in 2014",4122
"Number of pathways (before minCellCount) in 2018",2748
"Number of pathways (before minCellCount) in 2016",3089
"Number of pathways (before minCellCount) in 2013",4387
"Number of pathways (before minCellCount) in 2017",2837
"Number of pathways (before minCellCount) in 2010",3226
"Number of pathways (before minCellCount) in 2012",4221
"Number of pathways (before minCellCount) in 2004",1561
"Number of pathways (before minCellCount) in 2003",1219
"Number of pathways (before minCellCount) in 2001",624
"Number of pathways (before minCellCount) in 2002",797
"Number of pathways (before minCellCount) in 2005",1612
"Number of pathways (before minCellCount) in 2008",2316
"Number of pathways (before minCellCount) in 2000",310
"Number of pathways (before minCellCount) in 2019",2461
"Number of pathways (before minCellCount) in 2006",1986
"Number of pathways (before minCellCount) in 1999",131
"Number of pathways (before minCellCount) in 2020",522
"Number of pathways (before minCellCount) in 1997",66
"Number of pathways (before minCellCount) in 1998",101
"Number of pathways (before minCellCount) in 1996",29
"Number of pathways (before minCellCount) in 1995",7
"Number of pathways (before minCellCount) in 1993",3
"Number of pathways (before minCellCount) in 1992",2
"Number of pathways (before minCellCount) in 1994",1
"Number of pathways (before minCellCount) in NA",50289
